Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,ARG,ARS,7300,1050.0001,6.95238029,1260.794473,3251.010228,20.076,16.789,21.423,123.57,97.607,56.709,34.557,43.387,170.09,110.513
Australia,AUS,AUD,7.75,1.591216485,4.8704875,1.33851468,72534.28103,-15.881,-18.184,-14.937,56.622,38.434,-13.284,-25.542,-20.656,49.456,16.489
Brazil,BRA,BRL,23.9,5.9367,4.025805582,4.127806563,12423.50246,-30.47,-32.373,-29.69,29.459,14.425,-12.344,-24.735,-19.795,51.076,17.752
Canada,CAN,CAD,7.81,1.43845,5.429455316,1.348877375,53648.38817,-6.227,-8.794,-5.175,74.597,54.321,2.541,-11.954,-6.176,76.73,37.747
Switzerland,CHE,CHF,7.2,0.90085,7.992451574,1.243523316,73344.61592,38.039,34.261,39.588,157.016,127.169,41.952,21.886,29.885,144.655,90.689
China,CHN,CNY,25.5,7.24785,3.518284733,4.404145078,20262.57637,-39.235,-40.898,-38.553,13.139,0,-25.559,-36.081,-31.887,28.3,0
Euro area,EUZ,EUR,5.67,0.95247,5.9529434,0.979274611,42877.72374,2.814,0,3.968,91.431,69.2,16.463,0,6.563,100.725,56.449
Britain,GBR,GBP,4.59,0.80164,5.725762188,0.792746114,50367.33741,-1.109,-3.816,0,84.125,62.743,9.291,-6.158,0,88.364,46.814
Hong Kong,HKG,HKD,24,7.7877,3.081782811,4.14507772,95552.70944,-46.774,-48.231,-46.177,-0.898,-12.407,-48.711,-55.961,-53.071,-11.603,-31.102
Indonesia,IDN,IDR,41000,16172.5,2.535167723,7081.174439,10586.47858,-56.215,-57.413,-55.723,-18.476,-27.943,-44.422,-52.278,-49.146,-4.21,-25.34
India,IND,INR,226,86.34125,2.617520594,39.0328152,5296.608788,-54.792,-56.03,-54.285,-15.828,-25.602,-41.46,-49.735,-46.436,0.894,-21.361
Japan,JPN,JPY,480,154.355,3.109714619,82.9015544,57447.73286,-46.292,-47.762,-45.689,0,-11.613,-41.979,-50.181,-46.911,0,-22.058
South Korea,KOR,KRW,5500,1431.2,3.842929011,949.9136442,48881.68428,-33.628,-35.445,-32.884,23.578,9.227,-26.292,-36.711,-32.558,27.037,-0.985
Norway,NOR,NOK,75,11.2368,6.674498078,12.95336788,71520.73962,15.276,12.121,16.57,114.634,89.709,19.202,2.352,9.069,105.445,60.128
New Zealand,NZL,NZD,8.4,1.759479194,4.77414,1.450777202,53198.87498,-17.545,-19.802,-16.62,53.523,35.695,-9.705,-22.469,-17.381,55.625,21.297
Pakistan,PAK,PKR,1050,278.85,3.765465304,181.3471503,1998.316221,-34.966,-36.746,-34.236,21.087,7.026,-14.715,-26.771,-21.965,46.99,14.567
Philippines,PHL,PHP,169,58.435,2.892102336,29.18825561,7444.948745,-50.05,-51.417,-49.49,-6.998,-17.798,-35.844,-44.913,-41.298,10.573,-13.817
Romania,ROU,RON,16.25,4.73835,3.429463843,2.80656304,30023.51232,-40.769,-42.39,-40.105,10.282,-2.525,-29.904,-39.812,-35.863,20.812,-5.837
Singapore,SGP,SGD,6.95,1.3444,5.169592383,1.200345423,94788.01752,-10.715,-13.159,-9.713,66.24,46.935,-13.777,-25.966,-21.107,48.605,15.826
Thailand,THA,THB,135,33.6925,4.006826445,23.31606218,10952.19879,-30.797,-32.692,-30.021,28.849,13.886,-12.278,-24.678,-19.736,51.189,17.84
Taiwan,TWN,TWD,78,32.728,2.383280372,13.47150259,74946.37715,-58.838,-59.965,-58.376,-23.36,-32.26,-57.875,-63.83,-61.456,-27.398,-43.412
Ukraine,UKR,UAH,120,42,2.857142857,20.7253886,9270.923923,-50.654,-52.005,-50.1,-8.122,-18.792,-37.054,-45.952,-42.405,8.488,-15.442
United States,USA,USD,5.79,1,5.79,1,82715.1,0,-2.737,1.122,86.191,64.569,0,-14.136,-8.501,72.351,34.334